name,dev0,dev1
Image_w1920_h1200_fn12.jpg,[1223.5  576. ],[1421.  697.]
Image_w1920_h1200_fn13.jpg,[1165.   551.5],[1458.  681.]
Image_w1920_h1200_fn14.jpg,[1103.5  520. ],[1499.5  663. ]
Image_w1920_h1200_fn15.jpg,[1043.  497.],[1546.5  642. ]
Image_w1920_h1200_fn16.jpg,[981.5 474. ],[1597.   628.5]
Image_w1920_h1200_fn17.jpg,[938.  457.5],[1631.  619.]
Image_w1920_h1200_fn18.jpg,[898.5 443. ],[1673.   608.5]
Image_w1920_h1200_fn19.jpg,[873. 430.],[1699.  603.]
Image_w1920_h1200_fn20.jpg,[853.5 418.5],[1721.5  599. ]
Image_w1920_h1200_fn21.jpg,[838.5 411. ],[1738.5  597. ]
Image_w1920_h1200_fn22.jpg,[833.5 414. ],[1748.  601.]
Image_w1920_h1200_fn23.jpg,[832.5 425. ],[1749.  610.]
Image_w1920_h1200_fn24.jpg,[836.5 438. ],[1745.5  619.5]
Image_w1920_h1200_fn25.jpg,[842.  451.5],[1740.  628.]
Image_w1920_h1200_fn26.jpg,[850. 461.],[1732.5  634. ]
Image_w1920_h1200_fn27.jpg,[858.5 469.5],[1726.5  639. ]
Image_w1920_h1200_fn28.jpg,[867.5 474. ],[1713.5  640.5]
Image_w1920_h1200_fn29.jpg,[875.5 481. ],[1701.  644.]
Image_w1920_h1200_fn30.jpg,[893. 495.],[1676.5  655. ]
Image_w1920_h1200_fn31.jpg,[942. 525.],[1642.5  671. ]
Image_w1920_h1200_fn32.jpg,[993.5 546.5],[1609.   691.5]
Image_w1920_h1200_fn33.jpg,[1042.5  556. ],[1570.5  699. ]
Image_w1920_h1200_fn34.jpg,[1080.5  558. ],[1538.5  693. ]
Image_w1920_h1200_fn35.jpg,[1080.5  558. ],[1508.5  701. ]
Image_w1920_h1200_fn36.jpg,[1137.  586.],[1481.   708.5]
Image_w1920_h1200_fn37.jpg,[1183.   605.5],[1452.5  719.5]
Image_w1920_h1200_fn38.jpg,[1231.  618.],[1423.   727.5]
Image_w1920_h1200_fn39.jpg,[1268.   625.5],[1399.5  732. ]
Image_w1920_h1200_fn40.jpg,[1299.5  627.5],[1374.5  735. ]
Image_w1920_h1200_fn41.jpg,[1322.  632.],[1355.5  736. ]
Image_w1920_h1200_fn42.jpg,[1340.  635.],[1342.   738.5]
Image_w1920_h1200_fn43.jpg,[1352.5  636. ],[1330.   736.5]
Image_w1920_h1200_fn44.jpg,[1360.   639.5],[1320.5  737.5]
Image_w1920_h1200_fn45.jpg,[1362.  641.],[1314.5  735. ]
Image_w1920_h1200_fn46.jpg,[1359.   639.5],[1307.5  732. ]
Image_w1920_h1200_fn47.jpg,[1352.5  637. ],[1302.5  729. ]
Image_w1920_h1200_fn48.jpg,[1335.5  637.5],[1296.5  724.5]
Image_w1920_h1200_fn49.jpg,[1307.  642.],[1284.  719.]
Image_w1920_h1200_fn50.jpg,[1269.5  653.5],[1265.   710.5]
Image_w1920_h1200_fn51.jpg,[1224.   665.5],[1240.5  702. ]
Image_w1920_h1200_fn52.jpg,[1184.5  675. ],[1211.   693.5]
Image_w1920_h1200_fn53.jpg,[1146.5  695. ],[1173.  686.]
Image_w1920_h1200_fn54.jpg,[1099.  708.],[1135.  675.]
Image_w1920_h1200_fn55.jpg,[1046.5  718.5],[1086.5  659. ]
Image_w1920_h1200_fn56.jpg,[989. 729.],[1040.   636.5]
Image_w1920_h1200_fn57.jpg,[929.  732.5],[998.  607.5]
Image_w1920_h1200_fn58.jpg,[867.5 734. ],[959. 570.]
Image_w1920_h1200_fn59.jpg,[815. 734.],[923. 532.]
Image_w1920_h1200_fn60.jpg,[769.5 732.5],[887.5 492.5]
Image_w1920_h1200_fn61.jpg,[730.5 731.5],[854. 451.]
Image_w1920_h1200_fn62.jpg,[695.5 728. ],[824.5 406.5]
Image_w1920_h1200_fn63.jpg,[664.5 725. ],[793.5 362.5]
Image_w1920_h1200_fn64.jpg,[637.5 723. ],[767.  321.5]
Image_w1920_h1200_fn65.jpg,[615.  722.5],[743.5 281. ]
Image_w1920_h1200_fn66.jpg,[595.5 719. ],[724. 244.]
Image_w1920_h1200_fn67.jpg,[584. 716.],[707. 207.]
Image_w1920_h1200_fn68.jpg,[568.5 711.5],[694. 173.]
Image_w1920_h1200_fn69.jpg,[553. 705.],[686.  142.5]
Image_w1920_h1200_fn70.jpg,[548.  705.5],[680.5 117.5]
Image_w1920_h1200_fn71.jpg,[540.5 703. ],[679.  99.]
Image_w1920_h1200_fn72.jpg,[539. 703.],[679.  90.]
Image_w1920_h1200_fn73.jpg,[538.  701.5],[677.5  88. ]
